frequency_hz,real,imag,magnitude_db,phase_rad
100,0.000510070708989,1.07380015265,0.618470207216,1.57032131227
105.280119377,0.00056611803808,1.13121893023,1.0709343708,1.57029587726
110.83903536,0.000628416193024,1.19179101946,1.52400337844,1.57026903961
116.691468743,0.000697683625792,1.25570356342,1.9777438745,1.57024071512
122.852917595,0.000774726285299,1.32315713936,2.43222997816,1.57021081342
129.339698302,0.000860449400998,1.39436709308,2.88754415217,1.5701792373
136.168988774,0.000955871106774,1.46956505786,3.34377817971,1.57014588198
143.358873935,0.00106213824745,1.54900068961,3.80103426408,1.57011063434
150.928393616,0.00118054478545,1.63294365639,4.2594262691,1.57007337192
158.897592972,0.00131255331925,1.72168592792,4.71908112022,1.57003396181
167.287575568,0.00145982034407,1.8155444204,5.18014039052,1.56999225942
176.12055926,0.00162422603501,1.91486406343,5.64276209965,1.56994810698
185.419935036,0.00180790952438,2.02002137043,6.1071227589,1.56990133179
195.210328954,0.0020133108891,2.13142861182,6.57341970198,1.56985174424
205.517667359,0.00224322137967,2.24953871315,7.04187374863,1.5697991354
216.369245536,0.00250084383039,2.37485102864,7.51273225757,1.56974327426
227.793799995,0.00278986572405,2.50791817684,7.98627263692,1.56968390431
239.821584567,0.00311454808562,2.64935417163,8.46280639482,1.56962073967
252.484450524,0.00347983430812,2.79984414094,8.94268383109,1.56955346028
265.815930919,0.00389148425515,2.96015600305,9.42629949354,1.56948170621
279.851329394,0.00435624065525,3.13115457086,9.91409855197,1.56940507071
294.627813663,0.00488203707625,3.31381868734,10.4065842799,1.56932309183
310.184513942,0.00547825988606,3.50926217184,10.9043268823,1.56923524211
326.562626566,0.00615608093356,3.71875959333,11.4079739699,1.56914091586
343.805523089,0.0069288837512,3.94377820768,11.918263063,1.56903941343
361.958865131,0.00781281469553,4.18601783497,12.4360366158,1.56892992155
381.070725305,0.00882750282644,4.44746106202,12.962260199,1.56881148845
401.191714511,0.00999701038208,4.7304370095,13.4980446722,1.56868299234
