frequency_hz,target_magnitude_db,target_phase_rad,fit_magnitude_db,fit_phase_rad
100,0.618470207256,1.57032131227,1.50072441892,1.52606484712
105.280119377,1.07093437081,1.57029587726,1.9468131806,1.52372208283
110.83903536,1.52400337844,1.57026903961,2.39281513558,1.52125878912
116.691468743,1.97774387448,1.57024071512,2.83872180711,1.51866912589
122.852917595,2.43222997813,1.57021081342,3.28452401172,1.51594703059
129.339698302,2.88754415215,1.5701792373,3.73021183089,1.51308622045
136.168988774,3.3437781797,1.57014588198,4.17577459043,1.51008019693
143.358873935,3.80103426405,1.57011063434,4.62120085108,1.50692225302
150.928393616,4.25942626909,1.57007337192,5.06647841463,1.50360548382
158.897592972,4.71908112023,1.57003396181,5.51159435054,1.50012280106
167.287575568,5.18014039055,1.56999225942,5.95653505054,1.49646695232
176.12055926,5.64276209964,1.56994810698,6.40128631907,1.49263054562
185.419935036,6.1071227589,1.56990133179,6.84583351128,1.48860608053
195.210328954,6.57341970198,1.56985174424,7.29016173114,1.48438598672
205.517667359,7.04187374861,1.5697991354,7.7342561078,1.47996267135
216.369245536,7.51273225756,1.56974327426,8.17810217068,1.47532857661
227.793799995,7.9862726369,1.56968390431,8.62168635101,1.47047624928
239.821584567,8.46280639482,1.56962073967,9.06499664279,1.46539842407
252.484450524,8.94268383108,1.56955346028,9.50802346625,1.46008812316
265.815930919,9.42629949352,1.56948170621,9.9507607866,1.45453877459
279.851329394,9.91409855197,1.56940507071,10.3932075567,1.44874435264
294.627813663,10.4065842799,1.56932309183,10.8353695691,1.44269954418
310.184513942,10.9043268823,1.56923524211,11.2772618279,1.43639994551
326.562626566,11.4079739699,1.56914091586,11.7189115829,1.42984229578
343.805523089,11.918263063,1.56903941343,12.1603622107,1.4230247541
361.958865131,12.4360366158,1.56892992155,12.6016781864,1.41594723035
381.070725305,12.962260199,1.56881148845,13.0429514691,1.40861178195
401.191714511,13.4980446722,1.56868299234,13.4843097376,1.40102309419
422.375115967,14.0446734504,1.56854310088,13.9259270755,1.39318906724
444.677026308,14.603636338,1.56839021859,14.3680379353,1.38512154328
468.156504137,15.1766719322,1.56822241782,14.8109555628,1.3768372204
492.875726426,15.7658213402,1.56803734704,15.2550965836,1.36835882161
518.90015316,16.3734970459,1.56783210708,15.7010142635,1.35971661904
546.298700693,17.0025723602,1.56760308179,16.1494442268,1.35095046309
575.143924243,17.6564993101,1.56734570209,16.6013684768,1.34211254483
605.512210031,18.3394665496,1.56705411079,17.058106976,1.33327124573
637.483977562,19.0566147722,1.5667206761,17.5214518863,1.32451663726
671.143892585,19.8143367027,1.56633526747,17.9938699111,1.31596854644
706.581091303,20.6207048697,1.5658841467,18.4788172187,1.30778872478
743.889416417,21.4860984867,1.56534821294,18.9812481186,1.3001997915
783.167665635,22.4241519661,1.56470011532,19.508473271,1.29351578238
824.519853301,23.453245617,1.56389927884,20.0716849199,1.28819346801
868.05548584,24.5989583977,1.56288284413,20.6888454637,1.28492281861
913.889851749,25.8983386464,1.56154798526,21.3906130477,1.28479598915
962.144326893,27.4078937985,1.55971423262,22.2338335171,1.28964607976
1012.94669593,29.2200174259,1.55703330425,23.3370009919,1.30278752681
1066.4314907,31.5014746224,1.55273534941,24.9957851477,1.33080525613
1122.74034648,34.6030076081,1.54471542796,28.2325432885,1.38810564943
1182.02237706,39.4963078113,1.52443129672,43.6548752275,1.44720082745
1244.43456963,51.8913205758,1.37382182357,22.7563639929,-1.15655752517
1310.14220047,44.8393985633,-1.48244527593,15.1117024126,-0.117316117915
1379.31927266,37.0346216966,-1.53422677746,16.6174537825,0.476886008284
1452.14897685,32.9090758834,-1.54759383658,18.2493850823,0.66629725454
1528.82417635,30.0509477101,-1.55370829823,19.3729568577,0.741627775258
1609.54791792,27.834170289,-1.55719775213,20.2034934621,0.774741927987
1694.53396942,25.9999749093,-1.55943901577,20.8634426877,0.787984974037
1784.00738588,24.4153581865,-1.56098509203,21.4157745601,0.790288539909
1878.20510554,23.0021374487,-1.56210006002,21.8949326622,0.785887229867
1977.37657726,21.7097293473,-1.56292479243,22.3210505897,0.777046551359
2081.78442106,20.5027879678,-1.5635399748,22.7065753961,0.765094340158
2191.70512366,19.3548607288,-1.56399357536,23.0595637483,0.75086804732
2307.42977058,18.244783426,-1.56431395059,23.3854339763,0.734929706979
2429.264817,17.1544142894,-1.56451636888,23.6879531195,0.71767775977
2557.53289931,16.0670296955,-1.56460610217,23.9698214704,0.699408932008
2692.5736895,14.9660016049,-1.56457937214,24.2330337695,0.68035417278
2834.74479461,13.8334891591,-1.56442251581,24.4791104882,0.660700315551
2984.42270379,12.6488821366,-1.56410905394,24.7092502931,0.640603500836
3142.00378526,11.3866355487,-1.56359346035,24.9244328312,0.620197655972
3307.90533594,10.0128650644,-1.56279868288,25.1254891005,0.599599918555
3482.56668655,8.47941880557,-1.56159018998,25.3131500039,0.578914129462
3666.45036497,6.71245938431,-1.55971714184,25.4880798248,0.558233092554
3860.04332113,4.5876947309,-1.5566603968,25.6508990514,0.537640046228
4063.85821648,1.86722385499,-1.55115510949,25.8021995644,0.51720963814
4278.43478161,-2.00757115921,-1.53912739157,25.9425543033,0.49700859675
4504.34124554,-9.02730705327,-1.49631170967,26.0725229465,0.477096229238
4742.17584044,-20.9014022823,1.25554186526,26.192654739,0.457524831881
4992.56838587,-5.57103651102,1.5136874623,26.3034893297,0.438340068957
5256.18195661,-0.250315182792,1.53714050728,26.4055562713,0.419581355231
5533.71463858,3.08318445053,1.54559127052,26.4993736841,0.401282262442
5825.90137746,5.54908679874,1.54973106839,26.5854464627,0.383470960262
6133.51592496,7.53500738983,1.55201852623,26.6642643088,0.366170695763
6457.37288779,9.22255086366,1.55331901631,26.7362997952,0.349400311763
6798.32988487,10.7124208137,1.55400986187,26.8020066047,0.333174802843
7157.28981841,12.0672268791,1.55427608476,26.8618180402,0.31750590803
7535.20326497,13.32953709,1.55421248417,26.9161458622,0.302402740749
7933.07099264,14.5306770296,1.55386464651,26.9653794877,0.287872459572
8351.94661129,15.6955575553,1.55324655195,27.0098855628,0.273920987491
8792.93936265,16.8456573778,1.55234741204,27.050007917,0.260553793109
9257.21705772,18.0011529519,1.55113215274,27.0860679025,0.247776754716
9746.00916933,19.1827542198,1.54953645573,27.1183651356,0.235597138336
10260.6100879,20.4136712443,1.54745484306,27.1471786735,0.224024734795
10802.3825494,21.72219725,1.54471702922,27.1727686966,0.213073220553
11372.7612435,23.1456954353,1.54104101204,27.1953788203,0.202761835553
11973.2566136,24.737581175,1.53593418539,27.21523925,0.193117513726
12605.4588561,26.581049578,1.52846284636,27.2325711352,0.184177666487
