frequency_hz,target_magnitude_db,target_phase_rad,fit_magnitude_db,fit_phase_rad
100,0.618470207216,1.57032131227,8.16177032116,1.40930039252
105.280119377,1.0709343708,1.57029587726,8.59457615663,1.401009904
110.83903536,1.52400337844,1.57026903961,9.02593177144,1.39231921501
116.691468743,1.9777438745,1.57024071512,9.45569703981,1.38321292413
122.852917595,2.43222997816,1.57021081342,9.88372011116,1.37367563038
129.339698302,2.88754415217,1.5701792373,10.3098367912,1.36369203302
136.168988774,3.34377817971,1.57014588198,10.7338699623,1.35324704501
143.358873935,3.80103426408,1.57011063434,11.1556290607,1.34232592029
150.928393616,4.2594262691,1.57007337192,11.5749096279,1.33091439533
158.897592972,4.71908112022,1.57003396181,11.9914929581,1.31899884452
167.287575568,5.18014039052,1.56999225942,12.4051458617,1.30656644901
176.12055926,5.64276209965,1.56994810698,12.8156205668,1.29360537785
185.419935036,6.1071227589,1.56990133179,13.2226547807,1.28010497996
195.210328954,6.57341970198,1.56985174424,13.6259719306,1.26605598496
205.517667359,7.04187374863,1.5697991354,14.0252816013,1.25145071024
216.369245536,7.51273225757,1.56974327426,14.420280184,1.23628327148
227.793799995,7.98627263692,1.56968390431,14.8106517458,1.22054979318
239.821584567,8.46280639482,1.56962073967,15.196069124,1.20424861579
252.484450524,8.94268383109,1.56955346028,15.5761952431,1.18738049588
265.815930919,9.42629949354,1.56948170621,15.9506846476,1.16994879588
279.851329394,9.91409855197,1.56940507071,16.3191852378,1.1519596604
294.627813663,10.4065842799,1.56932309183,16.6813401933,1.13342217661
310.184513942,10.9043268823,1.56923524211,17.0367900639,1.1143485166
326.562626566,11.4079739699,1.56914091586,17.385175014,1.09475406053
343.805523089,11.918263063,1.56903941343,17.7261372019,1.07465749969
361.958865131,12.4360366158,1.56892992155,18.0593232884,1.05408091891
381.070725305,12.962260199,1.56881148845,18.3843870682,1.03304985782
401.191714511,13.4980446722,1.56868299234,18.7009922286,1.01159334959
422.375115967,14.0446734504,1.56854310088,19.0088152408,0.989743935395
444.677026308,14.603636338,1.56839021859,19.3075483917,0.967537650914
468.156504137,15.1766719322,1.56822241782,19.5969029559,0.945013980173
492.875726426,15.7658213402,1.56803734704,19.8766124995,0.922215770371
518.90015316,16.3734970459,1.56783210708,20.1464362867,0.899189100375
546.298700693,17.0025723602,1.56760308179,20.4061627372,0.87598309522
575.143924243,17.6564993101,1.56734570209,20.6556128589,0.852649679637
605.512210031,18.3394665496,1.56705411079,20.8946435501,0.829243265368
637.483977562,19.0566147722,1.5667206761,21.1231506478,0.805820369964
671.143892585,19.8143367027,1.56633526747,21.3410715815,0.78243916862
706.581091303,20.6207048697,1.5658841467,21.5483874904,0.759158985112
743.889416417,21.4860984867,1.56534821294,21.7451246709,0.736039732549
783.167665635,22.4241519661,1.56470011532,21.9313552413,0.713141319024
824.519853301,23.453245617,1.56389927884,22.1071969462,0.690523036736
868.05548584,24.5989583977,1.56288284413,22.2728120634,0.668242955477
913.889851749,25.8983386464,1.56154798526,22.428405421,0.646357342195
962.144326893,27.4078937985,1.55971423262,22.5742215809,0.624920127657
1012.94669593,29.2200174259,1.55703330425,22.7105412822,0.6039824391
1066.4314907,31.5014746224,1.55273534941,22.8376772781,0.583592214493
1122.74034648,34.6030076081,1.54471542796,22.9559697176,0.563793909938
1182.02237706,39.4963078113,1.52443129672,23.0657812412,0.5446283073
1244.43456963,51.8913205758,1.37382182357,23.1674919581,0.526132424719
1310.14220047,44.8393985633,-1.48244527593,23.2614944688,0.508339528622
1379.31927266,37.0346216966,-1.53422677746,23.3481890757,0.491279242506
1452.14897685,32.9090758834,-1.54759383658,23.42797931,0.474977745177
1528.82417635,30.0509477101,-1.55370829823,23.5012678732,0.459458049561
1609.54791792,27.834170289,-1.55719775213,23.5684530722,0.444740352436
1694.53396942,25.9999749093,-1.55943901577,23.6299258011,0.430842445588
1784.00738588,24.4153581865,-1.56098509203,23.6860671054,0.417780179724
1878.20510554,23.0021374487,-1.56210006002,23.7372463459,0.405567973875
1977.37657726,21.7097293473,-1.56292479243,23.7838199751,0.394219364946
2081.78442106,20.5027879678,-1.5635399748,23.8261309266,0.383747594235
2191.70512366,19.3548607288,-1.56399357536,23.8645086276,0.374166230192
2307.42977058,18.244783426,-1.56431395059,23.8992696444,0.365489829293
2429.264817,17.1544142894,-1.56451636888,23.930718991,0.357734639593
2557.53289931,16.0670296955,-1.56460610217,23.9591521481,0.350919354301
2692.5736895,14.9660016049,-1.56457937214,23.98485787,0.345065925611
2834.74479461,13.8334891591,-1.56442251581,24.0081218958,0.340200451975
2984.42270379,12.6488821366,-1.56410905394,24.0292317319,0.336354155053
3142.00378526,11.3866355487,-1.56359346035,24.048482736,0.33356446575
3307.90533594,10.0128650644,-1.56279868288,24.0661858211,0.33187624189
3482.56668655,8.47941880556,-1.56159018998,24.0826772041,0.331343143207
3666.45036497,6.7124593843,-1.55971714184,24.0983307709,0.332029192022
3860.04332113,4.58769473092,-1.5566603968,24.1135738174,0.334010549882
4063.85821648,1.86722385501,-1.55115510949,24.1289071746,0.337377540622
4278.43478161,-2.00757115921,-1.53912739157,24.1449310582,0.342236947363
4504.34124554,-9.02730705327,-1.49631170967,24.1623784133,0.348714602562
4742.17584044,-20.9014022823,1.25554186526,24.182158102,0.356958272558
4992.56838587,-5.57103651103,1.5136874623,24.2054110278,0.367140805141
5256.18195661,-0.250315182788,1.53714050728,24.2335832669,0.379463451115
5533.71463858,3.08318445052,1.54559127052,24.2685215127,0.394159174439
5825.90137746,5.54908679874,1.54973106839,24.3125976835,0.411495609008
6133.51592496,7.53500738983,1.55201852623,24.3688713743,0.43177707324
6457.37288779,9.22255086365,1.55331901631,24.4413008776,0.45534467532
6798.32988487,10.7124208137,1.55400986187,24.5350155021,0.482572982445
7157.28981841,12.0672268791,1.55427608476,24.6566634075,0.513860937117
7535.20326497,13.32953709,1.55421248417,24.8148493755,0.549613659122
7933.07099264,14.5306770296,1.55386464651,25.0206749844,0.590210528338
8351.94661129,15.6955575553,1.55324655195,25.2883893971,0.635953717073
8792.93936265,16.8456573778,1.55234741204,25.6361554574,0.686990581834
9257.21705772,18.0011529519,1.55113215274,26.0869448466,0.743203622051
9746.00916933,19.1827542198,1.54953645573,26.6696291062,0.804063093794
10260.6100879,20.4136712443,1.54745484306,27.4204997185,0.868437080207
10802.3825494,21.72219725,1.54471702922,28.3858688924,0.934340832394
11372.7612435,23.1456954353,1.54104101204,29.6273581271,0.998548467737
11973.2566136,24.737581175,1.53593418539,31.2336757268,1.05578606059
12605.4588561,26.581049578,1.52846284636,33.348272337,1.09650607284
13271.0421317,28.8198436491,1.51663065713,36.2384260111,1.09915576268
13971.7689988,31.740575,1.49529320344,40.4678955824,0.994321018419
14709.4950809,36.0641560521,1.44603277522,46.4778490792,0.435474672541
15486.1739809,44.7393944448,1.22208019594,44.6676896948,-0.732240364108
16303.862454,45.5955665361,-1.17523438519,39.187834583,-1.07725362711
17164.7258546,36.128259243,-1.43621364066,35.5390119976,-1.15202027736
18071.0438704,31.4188053714,-1.48836017168,32.884997446,-1.15669287604
19025.2165594,28.0993692392,-1.50969800791,30.7256186029,-1.13195851228
20029.7707054,25.3040578903,-1.52017343075,28.758665052,-1.08506750087
21087.3665095,22.5069214673,-1.52423044307,26.6942696542,-1.00446220641
22200.8046347,18.7986662173,-1.51934639035,24.0356630521,-0.831917735693
23373.033622,7.68564309096,-1.42229343894,20.1937041044,-0.194937457088
24607.1576992,26.3190612928,1.54253149729,29.415003958,1.24378450422
25906.4450009,31.9659257001,-1.55838645264,42.2797786795,-1.50016356702
27274.3362232,25.5141581328,-1.56065597766,32.5008324547,-1.36415447756
28714.453735,22.8631300125,-1.56066552512,29.375357505,-1.28075765242
30230.6111706,21.1140058849,-1.56086727351,27.3185006939,-1.19964885678
31826.8235287,19.7387152139,-1.5611895225,25.4641527776,-1.06804841402
33507.3178049,18.557319938,-1.56155199813,24.0403296887,-0.719935450187
35276.5441849,17.4880677141,-1.56191144335,29.0792973871,-0.281089151885
37139.1878299,16.4861076101,-1.56224537439,31.6739713311,-0.99214889032
39100.1812828,15.5228818648,-1.56254141908,29.1477390656,-1.22465842172
41164.7175311,14.5776060206,-1.56279165248,27.5555008508,-1.27096021855
43338.2637578,13.633081466,-1.56298942183,26.4690203609,-1.28335827012
45626.5758201,12.6732060178,-1.5631272197,25.6293652886,-1.28730056
48035.7134909,11.6810839138,-1.56319475669,24.9268274059,-1.28890238838
50572.0565067,10.6371200215,-1.56317653362,24.3087340864,-1.29001861468
53242.3214615,9.51654670492,-1.56304796863,23.7466478641,-1.29128458142
56053.5795936,8.28558076488,-1.56276825575,23.2237279958,-1.29292445729
59013.2755111,6.89463392073,-1.56226566752,22.7292459264,-1.29500917891
62129.2469062,5.26488019948,-1.56140359534,22.2559507377,-1.29754945116
65409.7453107,3.25802097754,-1.55988942329,21.7986949265,-1.30053198164
68863.4579471,0.59502694843,-1.55697025265,21.3536682679,-1.30393413914
72499.5307337,-3.43490535174,-1.54996362929,20.9179470442,-1.30772983419
76327.592504,-11.9239385692,-1.51727771364,20.4892169476,-1.31189169446
80357.7805056,-13.8628867437,1.50444326846,20.0655965065,-1.31639168305
84600.7672448,-2.96662674484,1.55140270323,19.6455211044,-1.32120111313
89067.788749,2.27387320556,1.5594265453,19.2276647049,-1.32629049211
93770.6743212,6.07782639321,1.56245457948,18.8108855852,-1.33162938867
98721.8778657,9.3477433605,1.56374781908,18.3941875686,-1.33718640012
103934.510868,12.5145565981,1.56405381339,17.9766912957,-1.34292923915
109422.377115,15.9578339822,1.56338688771,17.5576119365,-1.34882492948
115200.009252,20.306384246,1.56086724841,17.1362409249,-1.3548400853
121282.707263,27.5902582622,1.55035558596,16.7119300572,-1.36094124371
127686.578989,39.9194419399,-1.48774350933,16.2840768001,-1.36709521825
134428.582788,23.914568497,-1.55628523537,15.8521099774,-1.37326944424
141526.572436,17.9468180298,-1.56133588435,15.4154752089,-1.37943229043
148999.34441,13.3044893146,-1.56157602594,14.9736195804,-1.38555331638
156866.687666,8.00486947956,-1.55734005424,14.5259750523,-1.39160345958
165149.436037,-3.57861753801,-1.51723186629,14.0719400712,-1.39755514059
173869.523409,3.6646065273,1.5380231939,13.610858732,-1.40338227727
183050.041805,14.3661065169,1.55076073088,13.141996642,-1.40906020051
192715.302532,24.6963449326,1.54042290638,12.6645123344,-1.41456546335
202890.900563,36.4690618378,-1.49410259974,12.1774226405,-1.41987553179
213603.782317,23.449696633,-1.5574207819,11.6795597883,-1.42496833917
224882.317016,19.1585382342,-1.56362889781,11.1695170551,-1.4298216743
236756.371812,16.5550106205,-1.56572479518,10.6455783998,-1.43441235474
249257.390876,14.6445605183,-1.56664523023,10.1056253691,-1.4387151067
262418.478669,13.0933767258,-1.56705293282,9.54701124751,-1.44270102416
276274.48761,11.7497581524,-1.56716528423,8.96638711737,-1.44633539775
290862.110363,10.5309123576,-1.56706092255,8.35945576734,-1.44957456385
306219.977012,9.38472208303,-1.56675891844,7.7206145846,-1.45236117231
322388.757354,8.27363847412,-1.56624210166,7.04242250101,-1.45461680112
339411.268599,7.16646029496,-1.56546031471,6.31477822523,-1.4562299236
357332.588759,6.03302230783,-1.56432122554,5.52360475497,-1.45703531442
376200.176018,4.83945934093,-1.56266598244,4.64864661732,-1.45677670626
396063.994407,3.54222158561,-1.56021636941,3.65957253816,-1.45503416082
416976.64612,2.07813277641,-1.55645584956,2.50858465271,-1.45106981621
438993.510808,0.344326871751,-1.55033091915,1.11507461504,-1.44346021491
462172.892235,-1.85006199258,-1.53936081898,-0.670437950994,-1.42906801434
486576.172672,-4.92978717492,-1.51614602864,-3.16799620432,-1.39938390833
512267.975448,-10.2016971164,-1.44529270009,-7.25480774691,-1.32073180567
539316.33608,-25.5807653531,-0.333609213839,-16.789911546,-0.832515492299
567792.882444,-9.71303357617,1.36700726602,-10.463535923,1.27086313119
597773.024449,-2.60047303375,1.44613027839,-1.68330456559,1.47233850613
629336.153742,2.22059175942,1.46465665211,4.23399938806,1.52470522479
662565.853941,6.40744395852,1.46398207706,9.7627777183,1.54726307303
697550.121978,10.6978239075,1.44689325546,16.5551231169,1.55822584203
734381.601131,15.9328058393,1.39676151886,31.8938726476,1.55228000995
773157.826352,24.5046466214,1.184952752,23.2179145831,-1.56250751776
813981.482554,29.2951654557,-0.987779051141,16.6873732057,-1.56257300531
856960.676537,19.8339892876,-1.40930405507,13.4278237351,-1.5614129139
902209.22327,15.6317680704,-1.48265802647,11.281299366,-1.56049137945
949846.947287,12.9998049813,-1.51197205942,9.68110404861,-1.55987999641
1000000,11.090485027,-1.5274843415,8.39741291826,-1.559525851
